time,price,quantity
1631435358.7860212,180.62000000,1.57000000
1631435358.80111,180.62000000,0.91000000
1631435358.801789,180.54000000,3.52000000
1631435358.8235478,180.54000000,18.00000000
1631435360.437346,180.55000000,8.40000000
1631435360.438072,180.55000000,3.60000000
1631435360.6373749,180.57000000,2.00000000
1631435360.9561028,180.61000000,0.55000000
1631435362.7974,180.59000000,8.61000000
1631435362.798242,180.59000000,5.23000000
1631435362.799427,180.59000000,8.40000000
1631435362.800138,180.60000000,8.40000000
1631435362.8006039,180.63000000,5.00000000
1631435362.823482,180.65000000,0.06000000
1631435362.824183,180.65000000,0.55000000
1631435363.024446,180.63000000,8.40000000
1631435363.0253,180.61000000,8.40000000
1631435363.025763,180.61000000,13.71000000
1631435363.0262,180.58000000,34.60000000
1631435363.026647,180.58000000,8.92000000
1631435363.0270422,180.53000000,12.00000000
1631435363.0311658,180.53000000,2.63000000
1631435369.9908962,180.61000000,1.00000000
1631435370.2392619,180.57000000,0.79000000
1631435373.3312519,180.66000000,5.00000000
1631435373.332088,180.66000000,10.96000000
1631435375.180235,180.70000000,2.00000000
1631435375.181042,180.70000000,1.88000000
1631435375.181628,180.70000000,0.29000000
1631435375.182137,180.70000000,9.63000000
1631435375.18254,180.70000000,0.70000000
1631435375.194937,180.70000000,1.58000000
1631435375.205111,180.70000000,2.00000000
1631435375.229801,180.71000000,1.06000000
1631435375.413362,180.72000000,0.09000000
1631435375.4206212,180.72000000,7.91000000
1631435375.447159,180.72000000,1.26000000
1631435375.447702,180.72000000,2.92000000
1631435375.4506938,180.72000000,2.92000000
1631435375.470391,180.72000000,4.99000000
1631435375.47085,180.75000000,8.72000000
1631435375.4734871,180.75000000,2.00000000
1631435375.479554,180.75000000,18.00000000
1631435375.480234,180.75000000,0.81000000
1631435375.481156,180.75000000,0.50000000
1631435375.502153,180.75000000,8.72000000
1631435375.5204558,180.77000000,0.80000000
1631435375.5211608,180.81000000,2.14000000
1631435375.521611,180.81000000,7.56000000
1631435378.205933,180.79000000,6.00000000
1631435378.5881321,180.85000000,6.50000000
1631435378.589841,180.86000000,32.58000000
1631435378.592009,180.86000000,0.06000000
1631435378.5953522,180.88000000,3.00000000
1631435378.6062331,180.89000000,8.17000000
1631435378.607224,180.89000000,28.30000000
1631435378.607775,180.89000000,0.01000000
1631435378.632659,180.90000000,0.32000000
1631435378.6602318,180.92000000,138.43000000
1631435378.66227,180.90000000,8.24000000
1631435378.720622,180.93000000,2.14000000
1631435378.821373,180.89000000,1.22000000
1631435378.931641,180.94000000,34.60000000
1631435378.9628081,180.93000000,11.39000000
1631435378.970473,180.93000000,0.50000000
1631435378.9712708,180.93000000,0.50000000
1631435378.979361,180.93000000,1.00000000
1631435381.59253,180.86000000,0.47000000
1631435384.022665,180.96000000,3.08000000
1631435384.0449102,180.96000000,2.40000000
1631435384.046121,180.96000000,10.91000000
1631435384.0602822,180.96000000,2.14000000
1631435384.132477,180.96000000,1.19000000
1631435384.133256,180.96000000,2.47000000
1631435385.20068,180.98000000,1.25000000
1631435385.341024,181.00000000,0.99000000
1631435388.070793,180.90000000,13.81000000
1631435388.0719821,180.90000000,8.40000000
1631435388.0726058,180.89000000,7.49000000
1631435388.073204,180.88000000,8.40000000
1631435388.073846,180.86000000,1.11000000
1631435388.4779031,180.94000000,3.31000000
1631435388.796628,180.92000000,9.82000000
1631435388.805907,180.92000000,3.99000000
1631435388.824075,180.85000000,6.00000000
1631435389.624077,180.93000000,0.65000000
1631435390.073944,180.88000000,1.70000000
1631435390.075011,180.86000000,25.58000000
1631435390.075594,180.85000000,4.00000000
1631435390.0762198,180.84000000,7.92000000
1631435390.3250391,180.85000000,0.09000000
1631435391.073977,180.87000000,8.40000000
1631435391.07503,180.86000000,5.00000000
1631435391.0754719,180.85000000,8.31000000
1631435391.0759108,180.85000000,17.49000000
1631435392.7545862,180.86000000,0.11000000
1631435394.898176,180.89000000,2.48000000
1631435395.4241111,180.90000000,1.44000000
1631435395.59555,180.94000000,5.00000000
1631435396.406452,180.96000000,0.11000000
1631435396.963682,180.91000000,13.81000000
1631435396.974136,180.85000000,5.23000000
1631435396.974894,180.85000000,11.30000000
1631435396.975383,180.85000000,2.00000000
1631435396.975829,180.85000000,56.62000000
1631435398.926096,180.91000000,0.21000000
1631435401.59089,180.97000000,8.16000000
1631435401.591509,180.97000000,13.82000000
1631435401.640882,181.00000000,0.11000000
1631435401.641514,181.00000000,2.81000000
1631435401.642097,181.00000000,1.07000000
1631435401.645797,181.00000000,3.36000000
1631435401.6742048,181.01000000,0.22000000
1631435401.675214,181.01000000,0.11000000
1631435401.692275,181.02000000,0.06000000
1631435401.711339,181.03000000,0.18000000
1631435401.712495,181.03000000,0.11000000
1631435401.713079,181.03000000,0.16000000
1631435401.713664,181.03000000,0.11000000
1631435401.724152,181.03000000,2.00000000
1631435401.785386,181.05000000,0.19000000
1631435401.7863219,181.05000000,8.19000000
1631435401.786965,181.05000000,3.62000000
1631435401.884453,181.00000000,1.11000000
1631435401.953163,181.06000000,1.63000000
1631435401.9601002,181.06000000,0.31000000
1631435401.960523,181.06000000,0.11000000
1631435401.960999,181.06000000,1.56000000
1631435401.974185,181.06000000,5.19000000
1631435402.012629,181.07000000,0.15000000
1631435402.0241432,181.07000000,0.16000000
1631435402.030216,181.08000000,0.55000000
1631435402.031241,181.08000000,3.39000000
1631435402.199542,181.04000000,1.24000000
1631435402.38873,181.05000000,0.98000000
1631435402.835795,181.06000000,1.29000000
1631435402.8741708,181.10000000,0.06000000
1631435403.213053,181.12000000,0.06000000
1631435403.34498,181.14000000,0.39000000
1631435403.3742342,181.15000000,0.14000000
1631435403.3750882,181.15000000,0.41000000
1631435403.375659,181.15000000,0.35000000
1631435403.458611,181.16000000,1.16000000
1631435403.4596212,181.16000000,0.11000000
1631435403.464035,181.17000000,0.11000000
1631435403.474293,181.17000000,0.11000000
1631435403.5298932,181.17000000,8.37000000
1631435403.5746481,181.18000000,0.11000000
1631435403.580991,181.19000000,0.15000000
1631435403.5820532,181.19000000,0.16000000
1631435403.582647,181.19000000,0.32000000
1631435403.625005,181.20000000,1.25000000
1631435404.199368,181.18000000,0.99000000
1631435404.2497122,181.18000000,7.41000000
1631435404.250313,181.18000000,0.99000000
1631435404.3244119,181.19000000,2.89000000
1631435404.425638,181.17000000,2.89000000
1631435404.474315,181.20000000,0.07000000
1631435404.752935,181.18000000,0.75000000
1631435404.802741,181.18000000,6.74000000
1631435404.803392,181.13000000,4.85000000
1631435404.8889432,181.20000000,134.40000000
1631435404.933007,181.20000000,13.06000000
1631435404.9443462,181.20000000,8.61000000
1631435404.974297,181.17000000,0.69000000
1631435404.975272,181.20000000,0.15000000
1631435405.040215,181.20000000,13.87000000
1631435405.155007,181.20000000,7.25000000
1631435405.1742651,181.20000000,0.76000000
1631435405.178891,181.20000000,10.70000000
1631435405.212615,181.20000000,42.75000000
1631435405.274348,181.20000000,1.50000000
1631435405.2754931,181.20000000,3.00000000
1631435405.276856,181.20000000,1.00000000
1631435405.2777789,181.20000000,3.00000000
1631435405.279403,181.20000000,6.50000000
1631435405.280243,181.20000000,12.14000000
1631435405.2810152,181.20000000,0.50000000
1631435405.28186,181.20000000,3.00000000
1631435405.282994,181.20000000,0.50000000
1631435405.285141,181.20000000,1.50000000
1631435405.404274,181.20000000,7.86000000
1631435405.404842,181.20000000,5.36000000
1631435405.47422,181.21000000,0.15000000
1631435405.55566,181.20000000,1.27000000
1631435405.9242392,181.22000000,0.06000000
1631435405.974176,181.22000000,0.25000000
1631435405.975343,181.22000000,0.11000000
1631435405.9759018,181.23000000,0.12000000
1631435405.9764202,181.23000000,0.18000000
1631435405.976931,181.23000000,0.14000000
1631435405.9774551,181.23000000,0.11000000
1631435405.977896,181.24000000,1.63000000
1631435405.9783099,181.25000000,0.18000000
1631435405.978692,181.25000000,0.08000000
1631435405.979087,181.25000000,0.11000000
1631435405.979472,181.25000000,0.11000000
1631435405.9798641,181.26000000,0.16000000
1631435405.980271,181.26000000,2.40000000
1631435406.706243,181.26000000,8.40000000
1631435406.7069702,181.25000000,0.01000000
1631435406.7258098,181.26000000,1.57000000
1631435406.744504,181.26000000,2.29000000
1631435406.8578079,181.26000000,0.95000000
1631435406.859432,181.26000000,3.59000000
1631435406.86022,181.25000000,4.30000000
1631435406.907906,181.24000000,1.27000000
1631435407.777249,181.20000000,2.50000000
1631435407.780077,181.20000000,2.50000000
1631435407.78143,181.20000000,0.57000000
1631435407.782343,181.20000000,2.93000000
1631435407.783081,181.20000000,1.00000000
1631435407.783865,181.20000000,1.00000000
1631435407.950464,181.20000000,5.57000000
1631435408.143735,181.14000000,0.36000000
1631435408.286598,181.14000000,6.50000000
1631435410.1301818,181.17000000,0.52000000
1631435410.2110689,181.20000000,0.77000000
1631435410.6514509,181.23000000,2.85000000
1631435411.574522,181.15000000,7.00000000
1631435411.575451,181.15000000,0.49000000
1631435411.983223,181.17000000,0.08000000
1631435412.547829,181.15000000,1.41000000
1631435412.548896,181.09000000,4.59000000
1631435412.9278789,181.17000000,0.06000000
1631435412.9285,181.18000000,6.03000000
1631435414.824484,181.20000000,1.02000000
1631435414.834238,181.20000000,3.00000000
1631435414.837966,181.20000000,0.50000000
1631435414.844469,181.20000000,1.05000000
1631435414.853867,181.20000000,1.05000000
1631435414.943569,181.20000000,0.40000000
1631435414.974335,181.20000000,1.55000000
1631435417.027731,181.28000000,0.22000000
1631435417.1776938,181.30000000,0.11000000
1631435417.1787221,181.30000000,0.54000000
1631435417.17915,181.30000000,0.12000000
1631435417.179543,181.30000000,0.55000000
1631435417.17997,181.31000000,0.14000000
1631435417.4086359,181.32000000,0.15000000
1631435417.409554,181.32000000,0.11000000
1631435417.410104,181.32000000,0.11000000
1631435417.410609,181.32000000,0.69000000
1631435417.427704,181.33000000,0.26000000
1631435417.428488,181.33000000,0.33000000
1631435417.735438,181.31000000,3.11000000
1631435417.736855,181.31000000,0.80000000
1631435418.096949,181.34000000,1.16000000
1631435418.3566542,181.35000000,0.14000000
1631435418.3574789,181.35000000,0.16000000
1631435418.357985,181.35000000,0.06000000
1631435418.541099,181.36000000,0.26000000
1631435418.541857,181.36000000,0.06000000
1631435418.542284,181.36000000,0.26000000
1631435418.556759,181.37000000,0.06000000
1631435418.557446,181.37000000,0.31000000
1631435418.557858,181.37000000,0.22000000
1631435418.5582662,181.37000000,1.00000000
1631435419.298236,181.33000000,6.74000000
1631435419.47772,181.38000000,0.11000000
1631435419.478631,181.38000000,0.11000000
1631435419.527863,181.39000000,0.11000000
