time,best_bid,best_ask
1631435249.9590652,180.67000000,180.77000000
1631435250.058652,180.67000000,180.76000000
1631435250.157891,180.67000000,180.76000000
1631435250.2581718,180.67000000,180.76000000
1631435250.358794,180.68000000,180.76000000
1631435250.458771,180.71000000,180.80000000
1631435250.558539,180.71000000,180.80000000
1631435250.6786518,180.71000000,180.80000000
1631435250.7608268,180.71000000,180.80000000
1631435250.860876,180.71000000,180.80000000
1631435250.960906,180.71000000,180.80000000
1631435251.0785658,180.68000000,180.78000000
1631435251.178644,180.68000000,180.76000000
1631435251.2786372,180.68000000,180.76000000
1631435251.3786619,180.69000000,180.77000000
1631435251.478689,180.68000000,180.77000000
1631435251.5786738,180.68000000,180.77000000
1631435251.678676,180.68000000,180.77000000
1631435251.778618,180.68000000,180.77000000
1631435251.878803,180.69000000,180.77000000
1631435251.978739,180.69000000,180.77000000
1631435252.078631,180.68000000,180.77000000
1631435252.1786728,180.68000000,180.77000000
1631435252.278667,180.68000000,180.77000000
1631435252.378737,180.68000000,180.77000000
1631435252.478636,180.68000000,180.77000000
1631435252.578633,180.69000000,180.77000000
1631435252.6786869,180.69000000,180.76000000
1631435252.782866,180.68000000,180.76000000
1631435252.878633,180.68000000,180.76000000
1631435252.978809,180.68000000,180.76000000
1631435253.07867,180.68000000,180.73000000
1631435253.178636,180.68000000,180.73000000
1631435253.282151,180.68000000,180.73000000
1631435253.378724,180.68000000,180.73000000
1631435253.4788392,180.68000000,180.74000000
1631435253.578748,180.68000000,180.75000000
1631435253.6788008,180.70000000,180.75000000
1631435253.77868,180.70000000,180.75000000
1631435253.878742,180.70000000,180.75000000
1631435253.9787579,180.70000000,180.75000000
1631435254.078766,180.70000000,180.75000000
1631435254.178755,180.70000000,180.71000000
1631435254.278774,180.70000000,180.75000000
1631435254.378809,180.70000000,180.75000000
1631435254.478702,180.70000000,180.75000000
1631435254.5787652,180.70000000,180.75000000
1631435254.678695,180.70000000,180.75000000
1631435254.778782,180.70000000,180.75000000
1631435254.878817,180.70000000,180.75000000
1631435254.978797,180.70000000,180.75000000
1631435255.078794,180.70000000,180.75000000
1631435255.178654,180.70000000,180.75000000
1631435255.278674,180.70000000,180.73000000
1631435255.3788211,180.70000000,180.73000000
1631435255.478785,180.70000000,180.73000000
1631435255.578824,180.70000000,180.73000000
1631435255.6894348,180.70000000,180.73000000
1631435255.794872,180.70000000,180.76000000
1631435255.889859,180.70000000,180.76000000
1631435255.998446,180.70000000,180.76000000
1631435256.089212,180.70000000,180.76000000
1631435256.210335,180.70000000,180.76000000
1631435256.311185,180.70000000,180.76000000
1631435256.4111009,180.70000000,180.76000000
