time,cash,inventory,hinventory,equity,mid_price
1631884616.8122127,0,0,0,0.0,138.589654649509
1631884617.8022068,0,0,0,0.0,138.57174669524687
1631884618.8039365,0,0,0,0.0,138.54515552634945
1631884619.8031843,0,0,0,0.0,138.5171020997594
1631884620.802073,0,0,0,0.0,138.51398832260148
1631884621.8029995,0,0,0,0.0,138.50524663088456
1631884622.802086,0,0,0,0.0,138.5033501477478
1631884623.8026977,0,0,0,0.0,138.49118075325418
1631884624.8009455,0,0,0,0.0,138.45945563056927
1631884625.803712,0,0,0,0.0,138.30056777808593
1631884626.8039994,0,0,0,0.0,138.30056777808593
1631884627.8037505,0,0,0,0.0,138.30051512187617
1631884628.8038273,0,0,0,0.0,138.30051512187617
1631884629.8020334,0,0,0,0.0,138.2993806116943
1631884630.8024268,0,0,0,0.0,138.30050555884065
1631884631.8033497,0,0,0,0.0,138.30050555884065
1631884632.8056674,0,0,0,0.0,138.30050555884065
1631884633.8023322,0,0,0,0.0,138.3006277200867
1631884634.80823,0,0,0,0.0,138.3006277200867
1631884635.8031864,0,0,0,0.0,138.29669589541197
1631884636.815011,0,0,0,0.0,138.2958462695595
1631884637.8044615,0,0,0,0.0,138.2958462695595
1631884638.8040607,0,0,0,0.0,138.2877703789665
1631884639.806519,0,0,0,0.0,138.21893231680966
1631884640.8029156,0,0,0,0.0,138.17652400091288
1631884641.804361,0,0,0,0.0,138.17001152776893
1631884642.8042097,0,0,0,0.0,138.16095370912373
1631884643.8044066,0,0,0,0.0,138.16246755962263
1631884644.8060164,0,0,0,0.0,138.16307233957795
1631884645.8062356,0,0,0,0.0,138.1644919062383
1631884646.804362,0,0,0,0.0,138.22259126836326
1631884647.8052278,0,0,0,0.0,138.22259126836326
1631884648.80436,0,0,0,0.0,138.22158171940563
1631884649.806135,0,0,0,0.0,138.22265472109873
1631884650.8056645,0,0,0,0.0,138.22265472109873
1631884651.8062224,0,0,0,0.0,138.2210523779055
1631884652.805815,0,0,0,0.0,138.2210523779055
1631884653.8068924,0,0,0,0.0,138.2210523779055
1631884654.8048878,0,0,0,0.0,138.21976289191522
1631884655.8060586,0,0,0,0.0,138.21522576717774
1631884656.8061178,0,0,0,0.0,138.21522576717774
1631884657.8058379,0,0,0,0.0,138.20001941827485
1631884658.8053951,0,0,0,0.0,138.19026372318322
