time,best_bid,best_ask
1631434608.630385,179.89000000,179.97000000
1631434608.7304251,179.89000000,179.99000000
1631434608.830313,179.89000000,179.99000000
1631434608.930549,179.89000000,179.99000000
1631434609.030421,179.89000000,179.99000000
1631434609.130024,179.91000000,179.99000000
1631434609.231381,179.92000000,179.99000000
1631434609.3301902,179.89000000,179.98000000
1631434609.43038,179.93000000,179.98000000
1631434609.5301828,179.89000000,179.97000000
1631434609.630395,179.89000000,179.97000000
